01-AC-000024,LITTLE ANGEL LEARNING CENTER,AGC,"Poblacion,","Narvacan, Ilocos Sur",0,0,0
01-OE-000008,ST. JOSEPH SCHOOL,AGC,"Poblacion,","Kaingan, Ifugao",0,0,0
01-AC-000062,THE UNITED METHODIST CHURCH KID,AGC,"San Antonio,","Candon, Ilocos Sur",0,0,0
01-AC-000066,UCCP N & K SCHOOL-CANDON,AGC,"San Jose,","Candon, Ilocos Sur",0,0,0
01-AC-000064,UCCP KIDDIE LEARNING CENTER-CABUGAO,AGC,"Uccp Church,","Cabugao, Ilocos Sur",0,0,0
01-OA-000022,HOLY INFANT LEARNING CENTER,AGC,"Zone 7,","Bangued, Abra",0,0,0
01-AB-000022,ST. JUDE HIGH SCHOOL,AGC,0,"Pagudpud, Ilocos Norte",0,LAOAG,0
01-AC-000011,HOLY ANGEL LEARNING CENTER,AGC,0,"Candon, Ilocos Sur",0,0,0
01-AC-000025,MAGSINGAL INSTITUTE,AGC,0,"Magsingal, Ilocos Sur",0,0,0
01-AC-000060,TAGUDIN ADVENTIST MULTIGRADE SCHOOL,AGC,0,"Tagudin, Ilocos Sur",SDA NL,0,0
01-AC-000065,UCCP KINDERGARTEN LRNG. CTR.-SINAIT,AGC,0,"Sinait, Ilocos Sur",0,0,0
01-AC-000067,UNITED METHODIST SCHOOL-CANDON,AGC,0,"Candon, Ilocos Sur",0,0,0
01-AD-000001,AGOO ACADEMY (HS),AGC,0,"Agoo, La Union",0,0,0
01-AD-000029,ROSARIO CENTRAL SCHOOL,AGC,0,"Rosario, La Union",0,0,0
01-AD-000034,SAYTAN ELEMENTARY SCHOOL,AGC,0,"Pugo, La Union",0,0,0
01-OA-000037,ST. JOSEPH'S SEMINARY (HS),AGC,0,"Bangued, Abra",0,0,0
01-OC-000016,BRIDGES TUTORIAL'S LEARNING CENTER,AGC,0,"#81 Laurel St., Baguio City",0,0,0
01-OC-000069,VALLEY KIDDIE LANGUAGE CENTER,AGC,0,Baguio City,0,0,0
01-OD-000029,VALLEY KIDDIE LEARNING CENTER,AGC,0,"La Trinidad, Benguet",0,0,0
01-NA-000182,MYSTICAL ROSE SCHOOL OF KALOOKAN,CRU,"Metrocom Homes, Almar Subd.,","Camarin, Kalookan City",0,0,0
